"cell_type2" "cell_type1"
"late2cell.8" "late2cell" "2cell"
"late2cell.9" "late2cell" "2cell"
"lateblast" "lateblast" "blast"
"lateblast.1" "lateblast" "blast"
"lateblast.2" "lateblast" "blast"
"lateblast.3" "lateblast" "blast"
"lateblast.4" "lateblast" "blast"
"lateblast.5" "lateblast" "blast"
"lateblast.6" "lateblast" "blast"
"lateblast.7" "lateblast" "blast"
"lateblast.8" "lateblast" "blast"
"lateblast.9" "lateblast" "blast"
"lateblast.10" "lateblast" "blast"
"lateblast.11" "lateblast" "blast"
"lateblast.12" "lateblast" "blast"
"lateblast.13" "lateblast" "blast"
"lateblast.14" "lateblast" "blast"
"lateblast.15" "lateblast" "blast"
"lateblast.16" "lateblast" "blast"
"lateblast.17" "lateblast" "blast"
"lateblast.18" "lateblast" "blast"
"lateblast.19" "lateblast" "blast"
"lateblast.20" "lateblast" "blast"
"lateblast.21" "lateblast" "blast"
"lateblast.22" "lateblast" "blast"
"lateblast.23" "lateblast" "blast"
"lateblast.24" "lateblast" "blast"
"lateblast.25" "lateblast" "blast"
"lateblast.26" "lateblast" "blast"
"lateblast.27" "lateblast" "blast"
"lateblast.28" "lateblast" "blast"
"lateblast.29" "lateblast" "blast"
"mid2cell" "mid2cell" "2cell"
"mid2cell.1" "mid2cell" "2cell"
"mid2cell.2" "mid2cell" "2cell"
"mid2cell.3" "mid2cell" "2cell"
"mid2cell.4" "mid2cell" "2cell"
"mid2cell.5" "mid2cell" "2cell"
"mid2cell.6" "mid2cell" "2cell"
"mid2cell.7" "mid2cell" "2cell"
"mid2cell.8" "mid2cell" "2cell"
"mid2cell.9" "mid2cell" "2cell"
"mid2cell.10" "mid2cell" "2cell"
"mid2cell.11" "mid2cell" "2cell"
"midblast" "midblast" "blast"
"midblast.1" "midblast" "blast"
"midblast.2" "midblast" "blast"
"midblast.3" "midblast" "blast"
"midblast.4" "midblast" "blast"
"midblast.5" "midblast" "blast"
"midblast.6" "midblast" "blast"
"midblast.7" "midblast" "blast"
"midblast.8" "midblast" "blast"
"midblast.9" "midblast" "blast"
"midblast.10" "midblast" "blast"
"midblast.11" "midblast" "blast"
"midblast.12" "midblast" "blast"
"midblast.13" "midblast" "blast"
"midblast.14" "midblast" "blast"
"midblast.15" "midblast" "blast"
"midblast.16" "midblast" "blast"
"midblast.17" "midblast" "blast"
"midblast.18" "midblast" "blast"
"midblast.19" "midblast" "blast"
"midblast.20" "midblast" "blast"
"midblast.21" "midblast" "blast"
"midblast.22" "midblast" "blast"
"midblast.23" "midblast" "blast"
"midblast.24" "midblast" "blast"
"midblast.25" "midblast" "blast"
"midblast.26" "midblast" "blast"
"midblast.27" "midblast" "blast"
"midblast.28" "midblast" "blast"
"midblast.29" "midblast" "blast"
"midblast.30" "midblast" "blast"
"midblast.31" "midblast" "blast"
"midblast.32" "midblast" "blast"
"midblast.33" "midblast" "blast"
"midblast.34" "midblast" "blast"
"midblast.35" "midblast" "blast"
"midblast.36" "midblast" "blast"
"midblast.37" "midblast" "blast"
"midblast.38" "midblast" "blast"
"midblast.39" "midblast" "blast"
"midblast.40" "midblast" "blast"
"midblast.41" "midblast" "blast"
"midblast.42" "midblast" "blast"
"midblast.43" "midblast" "blast"
"midblast.44" "midblast" "blast"
"midblast.45" "midblast" "blast"
"midblast.46" "midblast" "blast"
"midblast.47" "midblast" "blast"
"midblast.48" "midblast" "blast"
"midblast.49" "midblast" "blast"
"midblast.50" "midblast" "blast"
"midblast.51" "midblast" "blast"
"midblast.52" "midblast" "blast"
"midblast.53" "midblast" "blast"
"midblast.54" "midblast" "blast"
"midblast.55" "midblast" "blast"
"midblast.56" "midblast" "blast"
"midblast.57" "midblast" "blast"
"midblast.58" "midblast" "blast"
"midblast.59" "midblast" "blast"
"zy" "zy" "zygote"
"zy.1" "zy" "zygote"
"zy.2" "zy" "zygote"
"zy.3" "zy" "zygote"
