"mouse" "cell_type1"
"mouse1_lib1.final_cell_0156" 1 "delta"
"mouse1_lib1.final_cell_0157" 1 "endothelial"
"mouse1_lib1.final_cell_0158" 1 "beta"
"mouse1_lib1.final_cell_0159" 1 "ductal"
"mouse1_lib1.final_cell_0160" 1 "macrophage"
"mouse1_lib1.final_cell_0161" 1 "delta"
"mouse1_lib1.final_cell_0162" 1 "immune_other"
"mouse1_lib1.final_cell_0163" 1 "beta"
"mouse1_lib1.final_cell_0164" 1 "beta"
"mouse1_lib1.final_cell_0165" 1 "ductal"
"mouse1_lib1.final_cell_0166" 1 "delta"
"mouse1_lib1.final_cell_0167" 1 "gamma"
"mouse1_lib1.final_cell_0168" 1 "beta"
"mouse1_lib1.final_cell_0169" 1 "beta"
"mouse1_lib1.final_cell_0170" 1 "beta"
"mouse1_lib1.final_cell_0171" 1 "beta"
"mouse1_lib1.final_cell_0172" 1 "beta"
"mouse1_lib1.final_cell_0173" 1 "beta"
"mouse1_lib1.final_cell_0174" 1 "beta"
"mouse1_lib1.final_cell_0175" 1 "ductal"
"mouse1_lib1.final_cell_0176" 1 "ductal"
"mouse1_lib1.final_cell_0177" 1 "beta"
"mouse1_lib1.final_cell_0178" 1 "ductal"
"mouse1_lib1.final_cell_0179" 1 "beta"
"mouse1_lib1.final_cell_0180" 1 "beta"
"mouse1_lib1.final_cell_0181" 1 "beta"
"mouse1_lib1.final_cell_0182" 1 "endothelial"
"mouse1_lib1.final_cell_0183" 1 "ductal"
"mouse1_lib1.final_cell_0184" 1 "ductal"
"mouse1_lib1.final_cell_0185" 1 "ductal"
"mouse1_lib1.final_cell_0186" 1 "beta"
"mouse1_lib1.final_cell_0187" 1 "endothelial"
"mouse1_lib1.final_cell_0188" 1 "endothelial"
"mouse1_lib1.final_cell_0189" 1 "gamma"
"mouse1_lib1.final_cell_0190" 1 "beta"
"mouse1_lib1.final_cell_0191" 1 "beta"
"mouse1_lib1.final_cell_0192" 1 "ductal"
"mouse1_lib1.final_cell_0193" 1 "ductal"
"mouse1_lib1.final_cell_0194" 1 "ductal"
"mouse1_lib1.final_cell_0195" 1 "quiescent_stellate"
"mouse1_lib1.final_cell_0196" 1 "beta"
"mouse1_lib1.final_cell_0197" 1 "beta"
"mouse1_lib1.final_cell_0198" 1 "beta"
"mouse1_lib1.final_cell_0199" 1 "beta"
"mouse1_lib1.final_cell_0200" 1 "ductal"
"mouse1_lib1.final_cell_0201" 1 "ductal"
"mouse1_lib1.final_cell_0202" 1 "ductal"
"mouse1_lib1.final_cell_0203" 1 "endothelial"
"mouse1_lib1.final_cell_0204" 1 "endothelial"
"mouse1_lib1.final_cell_0205" 1 "delta"
"mouse1_lib1.final_cell_0206" 1 "beta"
"mouse1_lib1.final_cell_0207" 1 "quiescent_stellate"
"mouse1_lib1.final_cell_0208" 1 "endothelial"
"mouse1_lib1.final_cell_0209" 1 "beta"
"mouse1_lib1.final_cell_0210" 1 "ductal"
"mouse1_lib1.final_cell_0211" 1 "beta"
"mouse1_lib1.final_cell_0212" 1 "delta"
"mouse1_lib1.final_cell_0213" 1 "beta"
"mouse1_lib1.final_cell_0214" 1 "beta"
"mouse1_lib1.final_cell_0215" 1 "ductal"
"mouse1_lib1.final_cell_0216" 1 "beta"
"mouse1_lib1.final_cell_0217" 1 "delta"
"mouse1_lib1.final_cell_0218" 1 "beta"
"mouse1_lib1.final_cell_0219" 1 "beta"
"mouse1_lib1.final_cell_0220" 1 "delta"
"mouse1_lib1.final_cell_0221" 1 "ductal"
"mouse1_lib1.final_cell_0222" 1 "activated_stellate"
"mouse1_lib1.final_cell_0223" 1 "beta"
"mouse1_lib1.final_cell_0224" 1 "beta"
"mouse1_lib1.final_cell_0225" 1 "delta"
"mouse1_lib1.final_cell_0226" 1 "delta"
"mouse1_lib1.final_cell_0227" 1 "ductal"
"mouse1_lib1.final_cell_0228" 1 "gamma"
"mouse1_lib1.final_cell_0229" 1 "beta"
"mouse1_lib1.final_cell_0230" 1 "beta"
"mouse1_lib1.final_cell_0231" 1 "gamma"
"mouse1_lib1.final_cell_0232" 1 "ductal"
"mouse1_lib1.final_cell_0233" 1 "endothelial"
"mouse1_lib1.final_cell_0234" 1 "quiescent_stellate"
"mouse1_lib1.final_cell_0235" 1 "endothelial"
"mouse1_lib1.final_cell_0236" 1 "ductal"
"mouse1_lib1.final_cell_0237" 1 "quiescent_stellate"
"mouse1_lib1.final_cell_0238" 1 "ductal"
"mouse1_lib1.final_cell_0239" 1 "ductal"
"mouse1_lib1.final_cell_0240" 1 "beta"
"mouse1_lib1.final_cell_0241" 1 "beta"
"mouse1_lib1.final_cell_0242" 1 "delta"
"mouse1_lib1.final_cell_0243" 1 "beta"
"mouse1_lib1.final_cell_0244" 1 "ductal"
"mouse1_lib1.final_cell_0245" 1 "delta"
"mouse1_lib1.final_cell_0246" 1 "delta"
"mouse1_lib1.final_cell_0247" 1 "beta"
"mouse1_lib1.final_cell_0248" 1 "beta"
"mouse1_lib1.final_cell_0249" 1 "ductal"
"mouse1_lib1.final_cell_0250" 1 "ductal"
"mouse1_lib1.final_cell_0251" 1 "endothelial"
"mouse1_lib1.final_cell_0252" 1 "beta"
"mouse1_lib1.final_cell_0253" 1 "quiescent_stellate"
"mouse1_lib1.final_cell_0254" 1 "delta"
"mouse1_lib1.final_cell_0255" 1 "ductal"
"mouse1_lib1.final_cell_0256" 1 "ductal"
"mouse1_lib1.final_cell_0257" 1 "beta"
"mouse1_lib1.final_cell_0258" 1 "ductal"
"mouse1_lib1.final_cell_0259" 1 "beta"
"mouse1_lib1.final_cell_0260" 1 "ductal"
"mouse1_lib1.final_cell_0261" 1 "ductal"
"mouse1_lib1.final_cell_0262" 1 "ductal"
"mouse1_lib1.final_cell_0263" 1 "B_cell"
"mouse1_lib1.final_cell_0264" 1 "ductal"
"mouse1_lib1.final_cell_0265" 1 "T_cell"
"mouse1_lib1.final_cell_0266" 1 "ductal"
"mouse1_lib1.final_cell_0267" 1 "ductal"
"mouse1_lib1.final_cell_0268" 1 "beta"
"mouse1_lib1.final_cell_0269" 1 "ductal"
"mouse1_lib1.final_cell_0270" 1 "beta"
"mouse1_lib1.final_cell_0271" 1 "ductal"
"mouse1_lib1.final_cell_0272" 1 "ductal"
"mouse1_lib1.final_cell_0273" 1 "ductal"
"mouse1_lib1.final_cell_0274" 1 "ductal"
"mouse1_lib1.final_cell_0275" 1 "endothelial"
"mouse1_lib1.final_cell_0276" 1 "endothelial"
"mouse1_lib1.final_cell_0277" 1 "ductal"
"mouse1_lib2.final_cell_0001" 1 "beta"
"mouse1_lib2.final_cell_0002" 1 "schwann"
"mouse1_lib2.final_cell_0003" 1 "delta"
"mouse1_lib2.final_cell_0004" 1 "alpha"
"mouse1_lib2.final_cell_0005" 1 "beta"
"mouse1_lib2.final_cell_0006" 1 "beta"
"mouse1_lib2.final_cell_0007" 1 "ductal"
"mouse1_lib2.final_cell_0008" 1 "beta"
"mouse1_lib2.final_cell_0009" 1 "alpha"
"mouse1_lib2.final_cell_0010" 1 "schwann"
"mouse1_lib2.final_cell_0011" 1 "ductal"
"mouse1_lib2.final_cell_0012" 1 "ductal"
"mouse1_lib2.final_cell_0013" 1 "ductal"
"mouse1_lib2.final_cell_0014" 1 "quiescent_stellate"
"mouse1_lib2.final_cell_0015" 1 "beta"
"mouse1_lib2.final_cell_0016" 1 "ductal"
"mouse1_lib2.final_cell_0017" 1 "ductal"
"mouse1_lib2.final_cell_0018" 1 "endothelial"
"mouse1_lib2.final_cell_0019" 1 "beta"
"mouse1_lib2.final_cell_0020" 1 "ductal"
"mouse1_lib2.final_cell_0021" 1 "ductal"
"mouse1_lib2.final_cell_0022" 1 "ductal"
"mouse1_lib2.final_cell_0023" 1 "ductal"
"mouse1_lib2.final_cell_0024" 1 "ductal"
"mouse1_lib2.final_cell_0025" 1 "beta"
"mouse1_lib2.final_cell_0026" 1 "ductal"
"mouse1_lib2.final_cell_0027" 1 "ductal"
"mouse1_lib2.final_cell_0028" 1 "ductal"
"mouse1_lib2.final_cell_0029" 1 "ductal"
"mouse1_lib2.final_cell_0030" 1 "ductal"
"mouse1_lib2.final_cell_0031" 1 "endothelial"
"mouse1_lib2.final_cell_0032" 1 "beta"
"mouse1_lib2.final_cell_0033" 1 "beta"
"mouse1_lib2.final_cell_0034" 1 "beta"
"mouse1_lib2.final_cell_0035" 1 "endothelial"
"mouse1_lib2.final_cell_0036" 1 "ductal"
"mouse1_lib2.final_cell_0037" 1 "beta"
"mouse1_lib2.final_cell_0038" 1 "beta"
"mouse1_lib2.final_cell_0039" 1 "beta"
"mouse1_lib2.final_cell_0040" 1 "ductal"
"mouse1_lib2.final_cell_0041" 1 "beta"
"mouse1_lib2.final_cell_0042" 1 "beta"
"mouse1_lib2.final_cell_0043" 1 "ductal"
"mouse1_lib2.final_cell_0044" 1 "beta"
"mouse1_lib2.final_cell_0045" 1 "ductal"
"mouse1_lib2.final_cell_0046" 1 "endothelial"
"mouse1_lib2.final_cell_0047" 1 "ductal"
"mouse1_lib2.final_cell_0048" 1 "endothelial"
"mouse1_lib2.final_cell_0049" 1 "beta"
"mouse1_lib2.final_cell_0050" 1 "endothelial"
"mouse1_lib2.final_cell_0051" 1 "ductal"
"mouse1_lib2.final_cell_0052" 1 "ductal"
"mouse1_lib2.final_cell_0053" 1 "beta"
"mouse1_lib2.final_cell_0054" 1 "ductal"
"mouse1_lib2.final_cell_0055" 1 "endothelial"
"mouse1_lib2.final_cell_0056" 1 "endothelial"
"mouse1_lib2.final_cell_0057" 1 "immune_other"
"mouse1_lib2.final_cell_0058" 1 "beta"
"mouse1_lib2.final_cell_0059" 1 "ductal"
"mouse1_lib2.final_cell_0060" 1 "beta"
"mouse1_lib2.final_cell_0061" 1 "beta"
"mouse1_lib2.final_cell_0062" 1 "beta"
"mouse1_lib2.final_cell_0063" 1 "beta"
"mouse1_lib2.final_cell_0064" 1 "delta"
"mouse1_lib2.final_cell_0065" 1 "beta"
"mouse1_lib2.final_cell_0066" 1 "ductal"
"mouse1_lib2.final_cell_0067" 1 "beta"
"mouse1_lib2.final_cell_0068" 1 "ductal"
"mouse1_lib2.final_cell_0069" 1 "endothelial"
"mouse1_lib2.final_cell_0070" 1 "beta"
"mouse1_lib2.final_cell_0071" 1 "ductal"
"mouse1_lib2.final_cell_0072" 1 "ductal"
"mouse1_lib2.final_cell_0073" 1 "beta"
"mouse1_lib2.final_cell_0074" 1 "beta"
"mouse1_lib2.final_cell_0075" 1 "beta"
"mouse1_lib2.final_cell_0076" 1 "beta"
"mouse1_lib2.final_cell_0077" 1 "ductal"
"mouse1_lib2.final_cell_0078" 1 "endothelial"
"mouse1_lib2.final_cell_0079" 1 "macrophage"
"mouse1_lib2.final_cell_0080" 1 "beta"
"mouse1_lib2.final_cell_0081" 1 "ductal"
"mouse1_lib2.final_cell_0082" 1 "beta"
"mouse1_lib2.final_cell_0083" 1 "ductal"
"mouse1_lib2.final_cell_0084" 1 "beta"
"mouse1_lib2.final_cell_0085" 1 "beta"
"mouse1_lib2.final_cell_0086" 1 "delta"
"mouse1_lib2.final_cell_0087" 1 "beta"
"mouse1_lib2.final_cell_0088" 1 "macrophage"
"mouse1_lib2.final_cell_0089" 1 "beta"
"mouse1_lib2.final_cell_0090" 1 "beta"
"mouse1_lib2.final_cell_0091" 1 "beta"
"mouse1_lib2.final_cell_0092" 1 "beta"
"mouse1_lib2.final_cell_0093" 1 "quiescent_stellate"
"mouse1_lib2.final_cell_0094" 1 "beta"
"mouse1_lib2.final_cell_0095" 1 "endothelial"
"mouse1_lib2.final_cell_0096" 1 "beta"
"mouse1_lib2.final_cell_0097" 1 "beta"
"mouse1_lib2.final_cell_0098" 1 "beta"
"mouse1_lib2.final_cell_0099" 1 "macrophage"
"mouse1_lib2.final_cell_0100" 1 "ductal"
"mouse1_lib2.final_cell_0101" 1 "beta"
"mouse1_lib2.final_cell_0102" 1 "endothelial"
"mouse1_lib2.final_cell_0103" 1 "beta"
"mouse1_lib2.final_cell_0104" 1 "beta"
"mouse1_lib2.final_cell_0105" 1 "delta"
"mouse1_lib2.final_cell_0106" 1 "macrophage"
"mouse1_lib2.final_cell_0107" 1 "ductal"
"mouse1_lib2.final_cell_0108" 1 "beta"
"mouse1_lib2.final_cell_0109" 1 "beta"
"mouse1_lib2.final_cell_0110" 1 "ductal"
"mouse1_lib2.final_cell_0111" 1 "beta"
"mouse1_lib2.final_cell_0112" 1 "beta"
"mouse1_lib2.final_cell_0113" 1 "delta"
"mouse1_lib2.final_cell_0114" 1 "quiescent_stellate"
"mouse1_lib2.final_cell_0115" 1 "beta"
"mouse1_lib2.final_cell_0116" 1 "beta"
"mouse1_lib2.final_cell_0117" 1 "ductal"
"mouse1_lib2.final_cell_0118" 1 "beta"
"mouse1_lib2.final_cell_0119" 1 "endothelial"
"mouse1_lib2.final_cell_0120" 1 "beta"
"mouse1_lib2.final_cell_0121" 1 "delta"
"mouse1_lib2.final_cell_0122" 1 "beta"
"mouse1_lib2.final_cell_0123" 1 "delta"
"mouse1_lib2.final_cell_0124" 1 "endothelial"
"mouse1_lib2.final_cell_0125" 1 "beta"
"mouse1_lib2.final_cell_0126" 1 "beta"
"mouse1_lib2.final_cell_0127" 1 "ductal"
"mouse1_lib2.final_cell_0128" 1 "gamma"
"mouse1_lib2.final_cell_0129" 1 "gamma"
"mouse1_lib2.final_cell_0130" 1 "ductal"
"mouse1_lib2.final_cell_0131" 1 "beta"
"mouse1_lib2.final_cell_0132" 1 "endothelial"
"mouse1_lib2.final_cell_0133" 1 "beta"
"mouse1_lib2.final_cell_0134" 1 "beta"
"mouse1_lib2.final_cell_0135" 1 "delta"
"mouse1_lib2.final_cell_0136" 1 "ductal"
"mouse1_lib2.final_cell_0137" 1 "beta"
"mouse1_lib2.final_cell_0138" 1 "delta"
"mouse1_lib2.final_cell_0139" 1 "endothelial"
"mouse1_lib2.final_cell_0140" 1 "gamma"
"mouse1_lib2.final_cell_0141" 1 "ductal"
"mouse1_lib2.final_cell_0142" 1 "macrophage"
"mouse1_lib2.final_cell_0143" 1 "quiescent_stellate"
"mouse1_lib2.final_cell_0144" 1 "ductal"
"mouse1_lib2.final_cell_0145" 1 "beta"
"mouse1_lib2.final_cell_0146" 1 "beta"
"mouse1_lib2.final_cell_0147" 1 "beta"
"mouse1_lib2.final_cell_0148" 1 "beta"
"mouse1_lib2.final_cell_0149" 1 "beta"
"mouse1_lib2.final_cell_0150" 1 "delta"
"mouse1_lib2.final_cell_0151" 1 "ductal"
"mouse1_lib2.final_cell_0152" 1 "beta"
"mouse1_lib2.final_cell_0153" 1 "ductal"
"mouse1_lib2.final_cell_0154" 1 "delta"
"mouse1_lib2.final_cell_0155" 1 "delta"
"mouse1_lib2.final_cell_0156" 1 "beta"
"mouse1_lib2.final_cell_0157" 1 "beta"
"mouse1_lib2.final_cell_0158" 1 "endothelial"
"mouse1_lib2.final_cell_0159" 1 "beta"
"mouse1_lib2.final_cell_0160" 1 "delta"
"mouse1_lib2.final_cell_0161" 1 "beta"
"mouse1_lib2.final_cell_0162" 1 "delta"
"mouse1_lib2.final_cell_0163" 1 "beta"
"mouse1_lib2.final_cell_0164" 1 "alpha"
"mouse1_lib2.final_cell_0165" 1 "ductal"
"mouse1_lib2.final_cell_0166" 1 "beta"
"mouse1_lib2.final_cell_0167" 1 "quiescent_stellate"
"mouse1_lib2.final_cell_0168" 1 "ductal"
"mouse1_lib2.final_cell_0169" 1 "beta"
"mouse1_lib2.final_cell_0170" 1 "endothelial"
"mouse1_lib2.final_cell_0171" 1 "ductal"
"mouse1_lib2.final_cell_0172" 1 "beta"
"mouse1_lib2.final_cell_0173" 1 "beta"
"mouse1_lib2.final_cell_0174" 1 "beta"
"mouse1_lib2.final_cell_0175" 1 "beta"
"mouse1_lib2.final_cell_0176" 1 "beta"
"mouse1_lib2.final_cell_0177" 1 "beta"
"mouse1_lib2.final_cell_0178" 1 "beta"
"mouse1_lib2.final_cell_0179" 1 "endothelial"
"mouse1_lib2.final_cell_0180" 1 "beta"
"mouse1_lib2.final_cell_0181" 1 "ductal"
"mouse1_lib2.final_cell_0182" 1 "beta"
"mouse1_lib2.final_cell_0183" 1 "endothelial"
"mouse1_lib2.final_cell_0184" 1 "beta"
"mouse1_lib2.final_cell_0185" 1 "beta"
"mouse1_lib2.final_cell_0186" 1 "macrophage"
"mouse1_lib2.final_cell_0187" 1 "beta"
"mouse1_lib2.final_cell_0188" 1 "delta"
"mouse1_lib2.final_cell_0189" 1 "beta"
"mouse1_lib2.final_cell_0190" 1 "beta"
"mouse1_lib2.final_cell_0191" 1 "beta"
"mouse1_lib2.final_cell_0192" 1 "beta"
"mouse1_lib2.final_cell_0193" 1 "beta"
"mouse1_lib2.final_cell_0194" 1 "ductal"
"mouse1_lib2.final_cell_0195" 1 "beta"
"mouse1_lib2.final_cell_0196" 1 "beta"
"mouse1_lib2.final_cell_0197" 1 "beta"
"mouse1_lib2.final_cell_0198" 1 "gamma"
"mouse1_lib2.final_cell_0199" 1 "beta"
"mouse1_lib2.final_cell_0200" 1 "endothelial"
"mouse1_lib2.final_cell_0201" 1 "macrophage"
"mouse1_lib2.final_cell_0202" 1 "endothelial"
"mouse1_lib2.final_cell_0203" 1 "beta"
"mouse1_lib2.final_cell_0204" 1 "beta"
"mouse1_lib2.final_cell_0205" 1 "ductal"
"mouse1_lib2.final_cell_0206" 1 "endothelial"
"mouse1_lib2.final_cell_0207" 1 "beta"
"mouse1_lib2.final_cell_0208" 1 "beta"
"mouse1_lib2.final_cell_0209" 1 "beta"
"mouse1_lib2.final_cell_0210" 1 "delta"
"mouse1_lib2.final_cell_0211" 1 "beta"
"mouse1_lib2.final_cell_0212" 1 "quiescent_stellate"
"mouse1_lib2.final_cell_0213" 1 "delta"
"mouse1_lib2.final_cell_0214" 1 "beta"
"mouse1_lib2.final_cell_0215" 1 "beta"
"mouse1_lib2.final_cell_0216" 1 "beta"
"mouse1_lib2.final_cell_0217" 1 "quiescent_stellate"
"mouse1_lib2.final_cell_0218" 1 "delta"
"mouse1_lib2.final_cell_0219" 1 "ductal"
"mouse1_lib2.final_cell_0220" 1 "ductal"
"mouse1_lib2.final_cell_0221" 1 "beta"
"mouse1_lib2.final_cell_0222" 1 "beta"
"mouse1_lib2.final_cell_0223" 1 "endothelial"
"mouse1_lib2.final_cell_0224" 1 "beta"
"mouse1_lib2.final_cell_0225" 1 "beta"
"mouse1_lib2.final_cell_0226" 1 "delta"
"mouse1_lib2.final_cell_0227" 1 "quiescent_stellate"
"mouse1_lib2.final_cell_0228" 1 "gamma"
"mouse1_lib2.final_cell_0229" 1 "delta"
"mouse1_lib2.final_cell_0230" 1 "beta"
"mouse1_lib2.final_cell_0231" 1 "delta"
"mouse1_lib2.final_cell_0232" 1 "beta"
"mouse1_lib2.final_cell_0233" 1 "ductal"
"mouse1_lib2.final_cell_0234" 1 "ductal"
"mouse1_lib2.final_cell_0235" 1 "beta"
"mouse1_lib2.final_cell_0236" 1 "beta"
"mouse1_lib2.final_cell_0237" 1 "delta"
"mouse1_lib2.final_cell_0238" 1 "beta"
"mouse1_lib2.final_cell_0239" 1 "endothelial"
"mouse1_lib2.final_cell_0240" 1 "delta"
"mouse1_lib2.final_cell_0241" 1 "delta"
"mouse1_lib2.final_cell_0242" 1 "beta"
"mouse1_lib2.final_cell_0243" 1 "delta"
"mouse1_lib2.final_cell_0244" 1 "alpha"
