"human" "cell_type1"
"human1_lib1.final_cell_0286" 1 "beta"
"human1_lib1.final_cell_0287" 1 "delta"
"human1_lib1.final_cell_0288" 1 "macrophage"
"human1_lib1.final_cell_0289" 1 "endothelial"
"human1_lib1.final_cell_0290" 1 "beta"
"human1_lib1.final_cell_0291" 1 "beta"
"human1_lib1.final_cell_0292" 1 "beta"
"human1_lib1.final_cell_0293" 1 "beta"
"human1_lib1.final_cell_0294" 1 "beta"
"human1_lib1.final_cell_0295" 1 "beta"
"human1_lib1.final_cell_0296" 1 "beta"
"human1_lib1.final_cell_0297" 1 "beta"
"human1_lib1.final_cell_0298" 1 "beta"
"human1_lib1.final_cell_0299" 1 "beta"
"human1_lib1.final_cell_0300" 1 "beta"
"human1_lib1.final_cell_0301" 1 "gamma"
"human1_lib1.final_cell_0302" 1 "endothelial"
"human1_lib1.final_cell_0303" 1 "beta"
"human1_lib1.final_cell_0304" 1 "beta"
"human1_lib1.final_cell_0305" 1 "beta"
"human1_lib1.final_cell_0306" 1 "delta"
"human1_lib1.final_cell_0307" 1 "beta"
"human1_lib1.final_cell_0308" 1 "gamma"
"human1_lib1.final_cell_0309" 1 "epsilon"
"human1_lib1.final_cell_0310" 1 "delta"
"human1_lib1.final_cell_0311" 1 "beta"
"human1_lib1.final_cell_0312" 1 "beta"
"human1_lib1.final_cell_0313" 1 "gamma"
"human1_lib1.final_cell_0314" 1 "beta"
"human1_lib1.final_cell_0315" 1 "beta"
"human1_lib1.final_cell_0316" 1 "beta"
"human1_lib1.final_cell_0317" 1 "beta"
"human1_lib1.final_cell_0318" 1 "beta"
"human1_lib1.final_cell_0319" 1 "endothelial"
"human1_lib1.final_cell_0320" 1 "beta"
"human1_lib1.final_cell_0321" 1 "delta"
"human1_lib1.final_cell_0322" 1 "alpha"
"human1_lib1.final_cell_0323" 1 "epsilon"
"human1_lib1.final_cell_0324" 1 "alpha"
"human1_lib1.final_cell_0325" 1 "quiescent_stellate"
"human1_lib1.final_cell_0326" 1 "alpha"
"human1_lib1.final_cell_0327" 1 "alpha"
"human1_lib1.final_cell_0328" 1 "beta"
"human1_lib1.final_cell_0329" 1 "beta"
"human1_lib1.final_cell_0330" 1 "ductal"
"human1_lib1.final_cell_0331" 1 "beta"
"human1_lib1.final_cell_0332" 1 "alpha"
"human1_lib1.final_cell_0333" 1 "beta"
"human1_lib1.final_cell_0334" 1 "alpha"
"human1_lib1.final_cell_0335" 1 "beta"
"human1_lib1.final_cell_0336" 1 "beta"
"human1_lib1.final_cell_0337" 1 "delta"
"human1_lib1.final_cell_0338" 1 "delta"
"human1_lib1.final_cell_0339" 1 "beta"
"human1_lib1.final_cell_0340" 1 "beta"
"human1_lib1.final_cell_0341" 1 "beta"
"human1_lib1.final_cell_0342" 1 "ductal"
"human1_lib1.final_cell_0343" 1 "acinar"
"human1_lib1.final_cell_0344" 1 "beta"
"human1_lib1.final_cell_0345" 1 "alpha"
"human1_lib1.final_cell_0346" 1 "beta"
"human1_lib1.final_cell_0347" 1 "beta"
"human1_lib1.final_cell_0348" 1 "alpha"
"human1_lib1.final_cell_0349" 1 "beta"
"human1_lib1.final_cell_0350" 1 "quiescent_stellate"
"human1_lib1.final_cell_0351" 1 "beta"
"human1_lib1.final_cell_0352" 1 "gamma"
"human1_lib1.final_cell_0353" 1 "beta"
"human1_lib1.final_cell_0354" 1 "gamma"
"human1_lib1.final_cell_0355" 1 "endothelial"
"human1_lib1.final_cell_0356" 1 "beta"
"human1_lib1.final_cell_0357" 1 "alpha"
"human1_lib1.final_cell_0358" 1 "schwann"
"human1_lib1.final_cell_0359" 1 "beta"
"human1_lib1.final_cell_0360" 1 "quiescent_stellate"
"human1_lib1.final_cell_0361" 1 "endothelial"
"human1_lib1.final_cell_0362" 1 "gamma"
"human1_lib1.final_cell_0363" 1 "beta"
"human1_lib1.final_cell_0364" 1 "beta"
"human1_lib1.final_cell_0365" 1 "alpha"
"human1_lib1.final_cell_0366" 1 "alpha"
"human1_lib1.final_cell_0367" 1 "gamma"
"human1_lib1.final_cell_0368" 1 "beta"
"human1_lib1.final_cell_0369" 1 "beta"
"human1_lib1.final_cell_0370" 1 "delta"
"human1_lib1.final_cell_0371" 1 "acinar"
"human1_lib1.final_cell_0372" 1 "acinar"
"human1_lib1.final_cell_0373" 1 "gamma"
"human1_lib1.final_cell_0374" 1 "ductal"
"human1_lib1.final_cell_0375" 1 "ductal"
"human1_lib1.final_cell_0376" 1 "endothelial"
"human1_lib1.final_cell_0377" 1 "delta"
"human1_lib1.final_cell_0378" 1 "beta"
"human1_lib1.final_cell_0379" 1 "beta"
"human1_lib1.final_cell_0380" 1 "endothelial"
"human1_lib1.final_cell_0381" 1 "alpha"
"human1_lib1.final_cell_0382" 1 "acinar"
"human1_lib1.final_cell_0383" 1 "endothelial"
"human1_lib1.final_cell_0384" 1 "endothelial"
"human1_lib1.final_cell_0385" 1 "alpha"
"human1_lib1.final_cell_0386" 1 "beta"
"human1_lib1.final_cell_0387" 1 "beta"
"human1_lib1.final_cell_0388" 1 "gamma"
"human1_lib1.final_cell_0389" 1 "beta"
"human1_lib1.final_cell_0390" 1 "alpha"
"human1_lib1.final_cell_0391" 1 "beta"
"human1_lib1.final_cell_0392" 1 "beta"
"human1_lib1.final_cell_0393" 1 "beta"
"human1_lib1.final_cell_0394" 1 "beta"
"human1_lib1.final_cell_0395" 1 "beta"
"human1_lib1.final_cell_0396" 1 "delta"
"human1_lib1.final_cell_0397" 1 "beta"
"human1_lib1.final_cell_0398" 1 "quiescent_stellate"
"human1_lib1.final_cell_0399" 1 "activated_stellate"
"human1_lib1.final_cell_0400" 1 "beta"
"human1_lib1.final_cell_0401" 1 "alpha"
"human1_lib1.final_cell_0402" 1 "beta"
"human1_lib1.final_cell_0403" 1 "gamma"
"human1_lib1.final_cell_0404" 1 "quiescent_stellate"
"human1_lib1.final_cell_0405" 1 "beta"
"human1_lib1.final_cell_0406" 1 "alpha"
"human1_lib1.final_cell_0407" 1 "quiescent_stellate"
"human1_lib1.final_cell_0408" 1 "endothelial"
"human1_lib1.final_cell_0409" 1 "beta"
"human1_lib1.final_cell_0410" 1 "ductal"
"human1_lib1.final_cell_0411" 1 "endothelial"
"human1_lib1.final_cell_0412" 1 "ductal"
"human1_lib1.final_cell_0413" 1 "acinar"
"human1_lib1.final_cell_0414" 1 "alpha"
"human1_lib1.final_cell_0415" 1 "delta"
"human1_lib1.final_cell_0416" 1 "beta"
"human1_lib1.final_cell_0417" 1 "macrophage"
"human1_lib1.final_cell_0418" 1 "ductal"
"human1_lib1.final_cell_0419" 1 "endothelial"
"human1_lib1.final_cell_0420" 1 "endothelial"
"human1_lib1.final_cell_0421" 1 "gamma"
"human1_lib1.final_cell_0422" 1 "endothelial"
"human1_lib1.final_cell_0423" 1 "endothelial"
"human1_lib1.final_cell_0424" 1 "beta"
"human1_lib1.final_cell_0425" 1 "beta"
"human1_lib1.final_cell_0426" 1 "gamma"
"human1_lib1.final_cell_0427" 1 "beta"
"human1_lib1.final_cell_0428" 1 "mast"
"human1_lib1.final_cell_0429" 1 "beta"
"human1_lib1.final_cell_0430" 1 "endothelial"
"human1_lib1.final_cell_0431" 1 "gamma"
"human1_lib1.final_cell_0432" 1 "quiescent_stellate"
"human1_lib1.final_cell_0433" 1 "alpha"
"human1_lib1.final_cell_0434" 1 "beta"
"human1_lib1.final_cell_0435" 1 "alpha"
"human1_lib1.final_cell_0436" 1 "acinar"
"human1_lib1.final_cell_0437" 1 "ductal"
"human1_lib1.final_cell_0438" 1 "beta"
"human1_lib1.final_cell_0439" 1 "beta"
"human1_lib1.final_cell_0440" 1 "ductal"
"human1_lib1.final_cell_0441" 1 "beta"
"human1_lib1.final_cell_0442" 1 "beta"
"human1_lib1.final_cell_0443" 1 "ductal"
"human1_lib1.final_cell_0444" 1 "acinar"
"human1_lib1.final_cell_0445" 1 "endothelial"
"human1_lib1.final_cell_0446" 1 "beta"
"human1_lib1.final_cell_0447" 1 "beta"
"human1_lib1.final_cell_0448" 1 "beta"
"human1_lib1.final_cell_0449" 1 "ductal"
"human1_lib1.final_cell_0450" 1 "activated_stellate"
"human1_lib1.final_cell_0451" 1 "beta"
"human1_lib1.final_cell_0452" 1 "quiescent_stellate"
"human1_lib1.final_cell_0453" 1 "acinar"
"human1_lib1.final_cell_0454" 1 "gamma"
"human1_lib1.final_cell_0455" 1 "quiescent_stellate"
"human1_lib1.final_cell_0456" 1 "endothelial"
"human1_lib1.final_cell_0457" 1 "endothelial"
"human1_lib1.final_cell_0458" 1 "alpha"
"human1_lib1.final_cell_0459" 1 "quiescent_stellate"
"human1_lib1.final_cell_0460" 1 "beta"
"human1_lib1.final_cell_0461" 1 "acinar"
"human1_lib1.final_cell_0462" 1 "beta"
"human1_lib1.final_cell_0463" 1 "endothelial"
"human1_lib1.final_cell_0464" 1 "endothelial"
"human1_lib1.final_cell_0465" 1 "beta"
"human1_lib1.final_cell_0466" 1 "acinar"
"human1_lib1.final_cell_0467" 1 "delta"
"human1_lib1.final_cell_0468" 1 "beta"
"human1_lib1.final_cell_0469" 1 "beta"
"human1_lib1.final_cell_0470" 1 "beta"
"human1_lib1.final_cell_0471" 1 "beta"
"human1_lib1.final_cell_0472" 1 "beta"
"human1_lib1.final_cell_0473" 1 "beta"
"human1_lib1.final_cell_0474" 1 "beta"
"human1_lib1.final_cell_0475" 1 "beta"
"human1_lib1.final_cell_0476" 1 "gamma"
"human1_lib1.final_cell_0477" 1 "ductal"
"human1_lib1.final_cell_0478" 1 "beta"
"human1_lib1.final_cell_0479" 1 "gamma"
"human1_lib1.final_cell_0480" 1 "beta"
"human1_lib1.final_cell_0481" 1 "delta"
"human1_lib1.final_cell_0482" 1 "beta"
"human1_lib1.final_cell_0483" 1 "beta"
"human1_lib1.final_cell_0484" 1 "gamma"
"human1_lib1.final_cell_0485" 1 "quiescent_stellate"
"human1_lib1.final_cell_0486" 1 "delta"
"human1_lib1.final_cell_0487" 1 "beta"
"human1_lib1.final_cell_0488" 1 "delta"
"human1_lib1.final_cell_0489" 1 "quiescent_stellate"
"human1_lib1.final_cell_0490" 1 "delta"
"human1_lib1.final_cell_0491" 1 "beta"
"human1_lib1.final_cell_0492" 1 "alpha"
"human1_lib1.final_cell_0493" 1 "delta"
"human1_lib1.final_cell_0494" 1 "alpha"
"human1_lib1.final_cell_0495" 1 "quiescent_stellate"
"human1_lib1.final_cell_0496" 1 "quiescent_stellate"
"human1_lib1.final_cell_0497" 1 "beta"
"human1_lib1.final_cell_0498" 1 "endothelial"
"human1_lib1.final_cell_0499" 1 "endothelial"
"human1_lib1.final_cell_0500" 1 "activated_stellate"
"human1_lib1.final_cell_0501" 1 "beta"
"human1_lib1.final_cell_0502" 1 "alpha"
"human1_lib1.final_cell_0503" 1 "delta"
"human1_lib1.final_cell_0504" 1 "beta"
"human1_lib1.final_cell_0505" 1 "endothelial"
"human1_lib1.final_cell_0506" 1 "alpha"
"human1_lib1.final_cell_0507" 1 "quiescent_stellate"
"human1_lib1.final_cell_0508" 1 "beta"
"human1_lib1.final_cell_0509" 1 "endothelial"
"human1_lib1.final_cell_0510" 1 "activated_stellate"
"human1_lib1.final_cell_0511" 1 "gamma"
"human1_lib1.final_cell_0512" 1 "beta"
"human1_lib1.final_cell_0513" 1 "quiescent_stellate"
"human1_lib1.final_cell_0514" 1 "beta"
"human1_lib1.final_cell_0515" 1 "endothelial"
"human1_lib1.final_cell_0516" 1 "gamma"
"human1_lib1.final_cell_0517" 1 "beta"
"human1_lib1.final_cell_0518" 1 "beta"
"human1_lib1.final_cell_0519" 1 "alpha"
"human1_lib1.final_cell_0520" 1 "endothelial"
"human1_lib1.final_cell_0521" 1 "gamma"
"human1_lib1.final_cell_0522" 1 "beta"
"human1_lib1.final_cell_0523" 1 "beta"
"human1_lib1.final_cell_0524" 1 "beta"
"human1_lib1.final_cell_0525" 1 "beta"
"human1_lib1.final_cell_0526" 1 "endothelial"
"human1_lib1.final_cell_0527" 1 "mast"
"human1_lib1.final_cell_0528" 1 "beta"
"human1_lib1.final_cell_0529" 1 "beta"
"human1_lib1.final_cell_0530" 1 "endothelial"
"human1_lib1.final_cell_0531" 1 "beta"
"human1_lib1.final_cell_0532" 1 "endothelial"
"human1_lib1.final_cell_0533" 1 "beta"
"human1_lib1.final_cell_0534" 1 "endothelial"
"human1_lib1.final_cell_0535" 1 "beta"
"human1_lib1.final_cell_0536" 1 "quiescent_stellate"
"human1_lib1.final_cell_0537" 1 "endothelial"
"human1_lib1.final_cell_0538" 1 "endothelial"
"human1_lib1.final_cell_0539" 1 "beta"
"human1_lib1.final_cell_0540" 1 "endothelial"
"human1_lib1.final_cell_0541" 1 "quiescent_stellate"
"human1_lib1.final_cell_0542" 1 "beta"
"human1_lib1.final_cell_0543" 1 "alpha"
"human1_lib1.final_cell_0544" 1 "ductal"
"human1_lib1.final_cell_0545" 1 "endothelial"
"human1_lib1.final_cell_0546" 1 "beta"
"human1_lib1.final_cell_0547" 1 "beta"
"human1_lib1.final_cell_0548" 1 "endothelial"
"human1_lib1.final_cell_0549" 1 "beta"
"human1_lib1.final_cell_0550" 1 "beta"
"human1_lib1.final_cell_0551" 1 "beta"
"human1_lib1.final_cell_0552" 1 "endothelial"
"human1_lib1.final_cell_0553" 1 "macrophage"
"human1_lib1.final_cell_0554" 1 "endothelial"
"human1_lib1.final_cell_0555" 1 "ductal"
"human1_lib1.final_cell_0556" 1 "beta"
"human1_lib1.final_cell_0557" 1 "ductal"
"human1_lib1.final_cell_0558" 1 "endothelial"
"human1_lib1.final_cell_0559" 1 "quiescent_stellate"
"human1_lib1.final_cell_0560" 1 "beta"
"human1_lib1.final_cell_0561" 1 "endothelial"
"human1_lib1.final_cell_0562" 1 "endothelial"
"human1_lib1.final_cell_0563" 1 "beta"
